pair,openedAtMs,entryPrice,baseRiskUsd,effectiveRiskUsd,riskMultiplier,notionalUsd,stopDistanceUsd,initialStopPrice,v4Quality,v4Impulse,v4Retracement,v4Structure,v4Reclaim,v4Resumption,regime,direction,adx,atrPct,spreadPct,setupTag,openPositions,openLotsForPair,openRiskUsd,exitReason,netPnlUsd,rMultiple,mfeR,maeR,holdTimeMinutes,closedAtMs
SOL/USD,1787260200000,87.74,50,50,1,2559.083333333336,1.7142857142857122,86.02571428571429,0.345,1,0.2366412213740534,0,0.051381593971228254,0.4370409492386375,TREND,BULLISH,59.16934164151051,0.9786970280233571,0,PULLBACK_CONTINUATION,1,1,50,STRUCTURE_INVALIDATION,-19.759366666666573,-0.3033333333333314,0,0.31499999999999573,110,1787266800000
SOL/USD,1787291400000,90.45,50,50,1,2733.808290155441,1.6542857142857141,88.79571428571428,0.3595,1,0,0,0.271950271950277,0.5254907110472278,TREND,BULLISH,57.55875502276644,0.9249053529496333,0,PULLBACK_CONTINUATION,0,0,0,TRAILING,22.256735751295082,0.544041450777197,1.6925734024179604,0.25388601036269537,195,1787303100000
SOL/USD,1787323500000,91.47,50,50,1,1510.1179245283017,3.028571428571429,88.44142857142857,0.3413,1,0.6136919315403371,0,0.09293680297397086,0,TREND,BULLISH,62.073199959446804,1.662041174718159,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,2.2301603773584437,0.09905660377358395,0.18490566037735923,0.23443396226414887,185,1787334600000
SOL/USD,1787347200000,92.4,50,50,1,1627.5792652239566,2.838571428571427,89.56142857142858,0.4246,1,0.40776699029128016,0,0.23306233062330992,0.4821853663732501,TREND,BULLISH,54.04951652193403,1.5453894972623188,0,PULLBACK_CONTINUATION,1,1,50,TIME_EFFICIENCY,19.244645193759286,0.44388525415198493,0.8595873175641667,0,190,1787358600000
SOL/USD,1787346900000,92.24,50,50,1,1624.7609461499756,2.838571428571427,89.40142857142857,0.3282,1,0.40776699029128016,0,0.23306233062330992,0,TREND,BULLISH,54.04951652193403,1.5453894972623188,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,20.481623049823835,0.4685455460493202,0.915953699043788,0,210,1787359500000
SOL/USD,1787366100000,95.15,50,50,1,1890.0397275822954,2.517142857142854,92.63285714285715,0.3801,1,0,0,0.33206831119544356,0.568226264325504,TREND,BULLISH,54.11828600371854,1.342333008288638,0,PULLBACK_CONTINUATION,0,0,0,TRAILING,94.63674233825206,1.962542565266744,2.7928490351872908,0.04370034052213377,135,1787374200000
SOL/USD,1787838000000,104.61,50,50,1,1727.866918357716,3.0271428571428567,101.58285714285714,0.543,1,0.7200000000000024,0.19327046943303716,0.19074868860276178,0.610868941783757,TREND,BULLISH,41.45932087806309,1.4495033792103316,0,PULLBACK_CONTINUATION,1,1,50,TRAILING,38.64080934403023,0.8357715903728179,1.5823501651722531,0.013213780084947797,280,1787854800000
SOL/USD,1787810400000,102.02,50,50,1,1987.0339454646632,2.567142857142857,99.45285714285714,0.3132,1,0.18348623853211143,0,0.38231545926869964,0,TREND,BULLISH,32.49274515709916,1.258280000560169,0,PULLBACK_CONTINUATION,0,0,0,TRAILING,96.05534780189213,1.994435169727325,2.8747913188647782,0.41291040623261077,740,1787854800000
SOL/USD,1787877600000,109.97,50,50,1,1659.0301724137958,3.3142857142857087,106.6557142857143,0.3659,1,0,0,0.31403604587656914,0.515483752311652,TREND,BULLISH,53.032765501967575,1.5182252470388038,0,PULLBACK_CONTINUATION,1,1,50,STRUCTURE_INVALIDATION,-34.78950215517246,-0.6366379310344836,0,0.6245689655172404,80,1787882400000
SOL/USD,1787873400000,109.94,50,50,1,1619.4865319865346,3.394285714285709,106.54571428571428,0.3274,1,0,0.19132244633614132,0.44573819703447826,0,TREND,BULLISH,52.32883619883234,1.5541601255886943,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-33.52723063973067,-0.6127946127946133,0.002946127946129458,0.6010101010100997,150,1787882400000
SOL/USD,1788461400000,104.97,50,50,1,2300.5322479649344,2.281428571428571,102.68857142857142,0.6252,1,0.8270270270270417,1,0.01907850806066586,0.2801403209631892,TREND,BULLISH,27.168059652117424,1.0852576212675153,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,3.7417345021915978,0.15779586725109557,0.3024420788979327,0.04383218534752412,185,1788472500000
SOL/USD,1788461700000,105.18,50,50,1,2305.134627426425,2.281428571428571,102.89857142857143,0.6357,1,0.8270270270270417,1,0.01907850806066586,0.332311984595757,TREND,BULLISH,27.168059652117424,1.0852576212675153,0,PULLBACK_CONTINUATION,1,1,50,TIME_EFFICIENCY,-3.2733876017534627,0.01753287413900716,0.2103944896681233,0.13587977457733352,185,1788472800000
SOL/USD,1788496200000,104.29,50,50,1,2414.120370370372,2.159999999999999,102.13000000000001,0.316,1,0.3305439330543771,0,0.24928092042185812,0,TREND,BULLISH,30.929145386726315,1.0409638554216862,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-18.22180555555576,-0.2777777777777819,0,0.25462962962963503,60,1788499800000
SOL/USD,1788686400000,105.99,50,50,1,3023.349633251831,1.7528571428571442,104.23714285714286,0.3463,1,0,0,0.2882525281164348,0.4432640838555232,TREND,BULLISH,38.990107274750656,0.8330278219072068,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,10.517514262428746,0.319478402607988,0.5819070904645531,0,185,1788697500000
SOL/USD,1788699300000,107.13,50,50,1,2800.2613890963403,1.912857142857143,105.21714285714285,0.39,1,0.015408320493056626,0.1823196349968262,0.16353611811980587,0.588627450980388,TREND,BULLISH,43.333415801255974,0.8983080411651843,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-27.499701269604163,-0.4495892457057502,0,0.6587005227781879,110,1788705900000
XRP/USD,1775640000000,1.38576,50,50,1,2415.2980429261524,0.028687142857142817,1.3570728571428572,0.3024,1,0,0,0.050962136217096284,0.4608513566761077,TREND,BULLISH,42.18690499129301,1.0383433663607966,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-17.860586624172495,-0.27050445694936287,0,0.46919974104875417,160,1775649600000
XRP/USD,1776160800000,1.37394,50,50,1,3575.308550185866,0.019214285714285757,1.354725714285714,0.5208,1,0.5785495403472543,1,0.025473812920323188,0,TREND,BULLISH,32.53214224941885,0.6992301709760749,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-15.327173977695079,-0.17799256505576058,0,0.20401486988847142,60,1776164400000
XRP/USD,1776303300000,1.4015,50,50,1,3143.182109445083,0.02229428571428573,1.3792057142857141,0.3466,1,0,0,0.11228722643399165,0.6205850874063481,TREND,BULLISH,42.416168274255774,0.7977002352310963,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,10.923516596181113,0.33192361912085405,0.5858003332051803,0.1865948993976648,185,1776314400000
XRP/USD,1776309600000,1.4139,50,50,1,3012.5098922505604,0.023467142857142877,1.390432857142857,0.4216,1,0.5369269388294211,0,0.10212765957446786,0.46879762962605254,TREND,BULLISH,45.853107534002575,0.8338358581397858,0,BREAKOUT_RETEST,1,1,50,TIME_EFFICIENCY,-16.68345193888113,-0.22542156206245867,0.028124429293241195,0.4768369148353331,185,1776320700000
XRP/USD,1776320400000,1.40931,50,50,1,3146.182548794491,0.022397142857142845,1.3869128571428573,0.3238,1,0,0,0.08981632029991349,0.5292933348827062,TREND,BULLISH,49.59042242995151,0.7966147683171089,0,PULLBACK_CONTINUATION,1,1,50,STRUCTURE_INVALIDATION,-19.402506059446736,-0.27503508100523777,0.15537696134710746,0.2710167113152198,115,1776327300000
