policy,fold,pair,lotId,exitReason,entryPrice,exitPrice,volume,riskUsd,grossPnlUsd,entryFeeUsd,exitFeeUsd,netPnlUsd,rMultiple,mfeR,maeR,holdTimeMinutes,openedAtMs,closedAtMs
R0,2,SOL/USD,replay-SOL/USD-13,TRAILING,95.15,100.09,19.863791146424543,50,98.1271282633372,1.7010357548240658,1.7893501702610692,94.63674233825206,1.962542565266744,2.7928490351872908,0.04370034052213377,135,1787366100000,1787374200000
R0,2,SOL/USD,replay-SOL/USD-15,TRAILING,104.61,107.14,16.517225106182163,50,41.788579518640894,1.5550802265219443,1.5926899480887213,38.64080934403023,0.8357715903728179,1.5823501651722531,0.013213780084947797,280,1787838000000,1787854800000
R0,2,SOL/USD,replay-SOL/USD-14,TRAILING,102.02,107.14,19.47690595436839,50,99.72175848636626,1.7883305509181968,1.8780801335559263,96.05534780189213,1.994435169727325,2.8747913188647782,0.41291040623261077,740,1787810400000,1787854800000
R0,2,SOL/USD,replay-SOL/USD-17,STRUCTURE_INVALIDATION,109.97,107.86,15.086206896551749,50,-31.83189655172418,1.4931271551724161,1.4644784482758644,-34.78950215517246,-0.6366379310344836,0,0.6245689655172404,80,1787877600000,1787882400000
R0,2,SOL/USD,replay-SOL/USD-16,STRUCTURE_INVALIDATION,109.94,107.86,14.730639730639755,50,-30.639730639730665,1.457537878787881,1.4299621212121234,-33.52723063973067,-0.6127946127946133,0.002946127946129458,0.6010101010100997,150,1787873400000,1787882400000
R0,2,SOL/USD,replay-SOL/USD-18,TIME_EFFICIENCY,104.97,105.33,21.91609267376331,50,7.889793362554779,2.070479023168441,2.0775798371947403,3.7417345021915978,0.15779586725109557,0.3024420788979327,0.04383218534752412,185,1788461400000,1788472500000
R0,2,SOL/USD,replay-SOL/USD-19,TIME_EFFICIENCY,105.18,105.22,21.91609267376331,50,0.876643706950358,2.0746211646837827,2.075410144020038,-3.2733876017534627,0.01753287413900716,0.2103944896681233,0.13587977457733352,185,1788461700000,1788472800000
R0,2,SOL/USD,replay-SOL/USD-20,STRUCTURE_INVALIDATION,104.29,103.69,23.14814814814816,50,-13.888888888889094,2.1727083333333344,2.160208333333334,-18.22180555555576,-0.2777777777777819,0,0.25462962962963503,60,1788496200000,1788499800000
R0,2,SOL/USD,replay-SOL/USD-21,TIME_EFFICIENCY,105.99,106.55,28.5248573757131,50,15.973920130399401,2.7210146699266478,2.7353911980440078,10.517514262428746,0.319478402607988,0.5819070904645531,0,185,1788686400000,1788697500000
R0,2,SOL/USD,replay-SOL/USD-22,STRUCTURE_INVALIDATION,107.13,106.27,26.138909634055263,50,-22.47946228528751,2.520235250186706,2.5000037341299475,-27.499701269604163,-0.4495892457057502,0,0.6587005227781879,110,1788699300000,1788705900000
R1,2,SOL/USD,replay-SOL/USD-1,PROFIT,82.14,86.99,24.060494958753505,37.5,116.69340054995436,1.7786961503208116,1.8837202108157707,113.03098418881778,3.11182401466545,3.1118240146654497,0.08340971585700924,165,1787165100000,1787175000000
R1,2,SOL/USD,replay-SOL/USD-2,STRUCTURE_INVALIDATION,85.64,84.7,19.12568306010932,50,-17.978142076502717,1.474131147540986,1.4579508196721336,-20.91022404371584,-0.35956284153005436,0,0.35956284153005436,50,1787186400000,1787189400000
R1,2,SOL/USD,replay-SOL/USD-3,TIME_EFFICIENCY,87.57,86.73,21.861336664584606,50,-18.363522798250834,1.7229575265459063,1.7064303560274805,-21.79291068082422,-0.3672704559650167,0.17926296064959849,0.3847595252966871,185,1787217300000,1787228400000
R1,2,SOL/USD,replay-SOL/USD-4,STRUCTURE_INVALIDATION,87.79,86.92,17.55852842809361,37.5,-15.27591973244152,1.3873168896321042,1.373568561872907,-18.036805183946534,-0.4073578595317739,0,0.5150501672240831,40,1787226600000,1787229000000
R1,2,SOL/USD,replay-SOL/USD-6,STRUCTURE_INVALIDATION,87.46,86.83,22.17060810810805,37.5,-13.96748310810797,1.7451372466216168,1.7325665118243196,-17.445186866553907,-0.3724662162162125,0.17736486486487113,0.46706081081080486,135,1787244300000,1787252400000
R1,2,SOL/USD,replay-SOL/USD-5,STRUCTURE_INVALIDATION,87.28,86.83,22.17060810810805,37.5,-9.976773648648685,1.7415456081081033,1.7325665118243196,-13.450885768581108,-0.26604729729729826,0.2837837837837854,0.3606418918918906,170,1787242200000,1787252400000
R1,2,SOL/USD,replay-SOL/USD-7,TIME_EFFICIENCY,87.39,87.23,21.203554119547665,37.5,-3.392568659127554,1.6676807350565432,1.6646274232633287,-6.724876817447426,-0.09046849757673477,0.20355411954765726,0.1187399030694634,185,1787254800000,1787265900000
R1,2,SOL/USD,replay-SOL/USD-8,STRUCTURE_INVALIDATION,87.74,87.22,21.87500000000003,37.5,-11.374999999999927,1.727381250000002,1.7171437500000022,-14.819524999999931,-0.3033333333333314,0,0.3149999999999958,110,1787260200000,1787266800000
R1,2,SOL/USD,replay-SOL/USD-9,TRAILING,90.45,91.35,22.668393782383422,37.5,20.401554404144886,1.8453205958549224,1.863681994818653,16.69255181347131,0.544041450777197,1.6925734024179604,0.25388601036269537,195,1787291400000,1787303100000
R1,2,SOL/USD,replay-SOL/USD-10,TIME_EFFICIENCY,91.47,91.77,12.382075471698112,37.5,3.7146226415093984,1.0193295990566036,1.0226727594339622,1.6726202830188324,0.09905660377358395,0.18490566037735923,0.23443396226414887,185,1787323500000,1787334600000
R1,2,SOL/USD,replay-SOL/USD-12,TIME_EFFICIENCY,92.4,93.66,13.21087065928536,37.5,16.645697030699434,1.0986160040261705,1.1135971313538,14.433483895319464,0.44388525415198493,0.8595873175641666,0,190,1787347200000,1787358600000
R1,2,SOL/USD,replay-SOL/USD-11,TIME_EFFICIENCY,92.24,93.57,13.21087065928536,37.5,17.570457976849507,1.0967136386512333,1.112527050830398,15.361217287367875,0.4685455460493202,0.915953699043788,0,210,1787346900000,1787359500000
R1,2,SOL/USD,replay-SOL/USD-13,TRAILING,95.15,100.09,14.897843359818408,37.5,73.5953461975029,1.2757768161180494,1.3420126276958022,70.97755675368904,1.962542565266744,2.792849035187291,0.04370034052213377,135,1787366100000,1787374200000
R1,2,SOL/USD,replay-SOL/USD-15,TRAILING,104.61,107.14,16.517225106182163,50,41.788579518640894,1.5550802265219443,1.5926899480887213,38.64080934403023,0.8357715903728179,1.5823501651722531,0.013213780084947797,280,1787838000000,1787854800000
R1,2,SOL/USD,replay-SOL/USD-14,TRAILING,102.02,107.14,14.607679465776293,37.5,74.79131886477468,1.3412479131886474,1.4085601001669448,72.04151085141908,1.994435169727325,2.8747913188647782,0.41291040623261077,740,1787810400000,1787854800000
R1,2,SOL/USD,replay-SOL/USD-17,STRUCTURE_INVALIDATION,109.97,107.86,11.314655172413811,37.5,-23.873922413793135,1.1198453663793122,1.0983588362068983,-26.092126616379346,-0.6366379310344836,0,0.6245689655172403,80,1787877600000,1787882400000
R1,2,SOL/USD,replay-SOL/USD-16,STRUCTURE_INVALIDATION,109.94,107.86,11.047979797979815,37.5,-22.979797979797997,1.0931534090909107,1.0724715909090927,-25.145422979798,-0.6127946127946133,0.002946127946129458,0.6010101010100997,150,1787873400000,1787882400000
R1,2,SOL/USD,replay-SOL/USD-18,TIME_EFFICIENCY,104.97,105.33,21.91609267376331,50,7.889793362554779,2.070479023168441,2.0775798371947403,3.7417345021915978,0.15779586725109557,0.3024420788979327,0.04383218534752412,185,1788461400000,1788472500000
R1,2,SOL/USD,replay-SOL/USD-19,TIME_EFFICIENCY,105.18,105.22,21.91609267376331,50,0.876643706950358,2.0746211646837827,2.075410144020038,-3.2733876017534627,0.01753287413900716,0.2103944896681233,0.13587977457733352,185,1788461700000,1788472800000
R1,2,SOL/USD,replay-SOL/USD-20,STRUCTURE_INVALIDATION,104.29,103.69,17.36111111111112,37.5,-10.41666666666682,1.629531250000001,1.6201562500000009,-13.666354166666823,-0.2777777777777819,0,0.2546296296296351,60,1788496200000,1788499800000
R1,2,SOL/USD,replay-SOL/USD-21,TIME_EFFICIENCY,105.99,106.55,21.393643031784823,37.5,11.98044009779955,2.040761002444986,2.0515433985330054,7.888135696821558,0.319478402607988,0.581907090464553,0,185,1788686400000,1788697500000
R1,2,SOL/USD,replay-SOL/USD-22,STRUCTURE_INVALIDATION,107.13,106.27,19.604182225541447,37.5,-16.859596713965633,1.8901764376400296,1.8750028005974604,-20.624775952203123,-0.4495892457057502,0,0.6587005227781879,110,1788699300000,1788705900000
U75,2,SOL/USD,replay-SOL/USD-1,PROFIT,82.14,86.99,24.060494958753505,37.5,116.69340054995436,1.7786961503208116,1.8837202108157707,113.03098418881778,3.11182401466545,3.1118240146654497,0.08340971585700924,165,1787165100000,1787175000000
U75,2,SOL/USD,replay-SOL/USD-2,STRUCTURE_INVALIDATION,85.64,84.7,14.344262295081991,37.5,-13.483606557377039,1.1055983606557396,1.0934631147541003,-15.682668032786879,-0.35956284153005436,0,0.35956284153005436,50,1787186400000,1787189400000
U75,2,SOL/USD,replay-SOL/USD-3,TIME_EFFICIENCY,87.57,86.73,16.396002498438456,37.5,-13.772642098688126,1.2922181449094299,1.2798227670206106,-16.344683010618166,-0.3672704559650167,0.17926296064959849,0.3847595252966871,185,1787217300000,1787228400000
U75,2,SOL/USD,replay-SOL/USD-4,STRUCTURE_INVALIDATION,87.79,86.92,17.55852842809361,37.5,-15.27591973244152,1.3873168896321042,1.373568561872907,-18.036805183946534,-0.4073578595317739,0,0.5150501672240831,40,1787226600000,1787229000000
U75,2,SOL/USD,replay-SOL/USD-6,STRUCTURE_INVALIDATION,87.46,86.83,22.17060810810805,37.5,-13.96748310810797,1.7451372466216168,1.7325665118243196,-17.445186866553907,-0.3724662162162125,0.17736486486487113,0.46706081081080486,135,1787244300000,1787252400000
U75,2,SOL/USD,replay-SOL/USD-5,STRUCTURE_INVALIDATION,87.28,86.83,22.17060810810805,37.5,-9.976773648648685,1.7415456081081033,1.7325665118243196,-13.450885768581108,-0.26604729729729826,0.2837837837837854,0.3606418918918906,170,1787242200000,1787252400000
U75,2,SOL/USD,replay-SOL/USD-7,TIME_EFFICIENCY,87.39,87.23,21.203554119547665,37.5,-3.392568659127554,1.6676807350565432,1.6646274232633287,-6.724876817447426,-0.09046849757673477,0.20355411954765726,0.1187399030694634,185,1787254800000,1787265900000
U75,2,SOL/USD,replay-SOL/USD-8,STRUCTURE_INVALIDATION,87.74,87.22,21.87500000000003,37.5,-11.374999999999927,1.727381250000002,1.7171437500000022,-14.819524999999931,-0.3033333333333314,0,0.3149999999999958,110,1787260200000,1787266800000
U75,2,SOL/USD,replay-SOL/USD-9,TRAILING,90.45,91.35,22.668393782383422,37.5,20.401554404144886,1.8453205958549224,1.863681994818653,16.69255181347131,0.544041450777197,1.6925734024179604,0.25388601036269537,195,1787291400000,1787303100000
U75,2,SOL/USD,replay-SOL/USD-10,TIME_EFFICIENCY,91.47,91.77,12.382075471698112,37.5,3.7146226415093984,1.0193295990566036,1.0226727594339622,1.6726202830188324,0.09905660377358395,0.18490566037735923,0.23443396226414887,185,1787323500000,1787334600000
U75,2,SOL/USD,replay-SOL/USD-12,TIME_EFFICIENCY,92.4,93.66,13.21087065928536,37.5,16.645697030699434,1.0986160040261705,1.1135971313538,14.433483895319464,0.44388525415198493,0.8595873175641666,0,190,1787347200000,1787358600000
U75,2,SOL/USD,replay-SOL/USD-11,TIME_EFFICIENCY,92.24,93.57,13.21087065928536,37.5,17.570457976849507,1.0967136386512333,1.112527050830398,15.361217287367875,0.4685455460493202,0.915953699043788,0,210,1787346900000,1787359500000
U75,2,SOL/USD,replay-SOL/USD-13,TRAILING,95.15,100.09,14.897843359818408,37.5,73.5953461975029,1.2757768161180494,1.3420126276958022,70.97755675368904,1.962542565266744,2.792849035187291,0.04370034052213377,135,1787366100000,1787374200000
U75,2,SOL/USD,replay-SOL/USD-15,TRAILING,104.61,107.14,12.387918829636623,37.5,31.341434638980672,1.1663101698914584,1.194517461066541,28.98060700802267,0.8357715903728179,1.5823501651722536,0.013213780084947797,280,1787838000000,1787854800000
U75,2,SOL/USD,replay-SOL/USD-14,TRAILING,102.02,107.14,14.607679465776293,37.5,74.79131886477468,1.3412479131886474,1.4085601001669448,72.04151085141908,1.994435169727325,2.8747913188647782,0.41291040623261077,740,1787810400000,1787854800000
U75,2,SOL/USD,replay-SOL/USD-17,STRUCTURE_INVALIDATION,109.97,107.86,11.314655172413811,37.5,-23.873922413793135,1.1198453663793122,1.0983588362068983,-26.092126616379346,-0.6366379310344836,0,0.6245689655172403,80,1787877600000,1787882400000
U75,2,SOL/USD,replay-SOL/USD-16,STRUCTURE_INVALIDATION,109.94,107.86,11.047979797979815,37.5,-22.979797979797997,1.0931534090909107,1.0724715909090927,-25.145422979798,-0.6127946127946133,0.002946127946129458,0.6010101010100997,150,1787873400000,1787882400000
U75,2,SOL/USD,replay-SOL/USD-18,TIME_EFFICIENCY,104.97,105.33,16.43706950532248,37.5,5.917345021916083,1.5528592673763306,1.5581848778960552,2.8063008766436974,0.15779586725109557,0.3024420788979326,0.04383218534752412,185,1788461400000,1788472500000
U75,2,SOL/USD,replay-SOL/USD-19,TIME_EFFICIENCY,105.18,105.22,16.43706950532248,37.5,0.6574827802127684,1.5559658735128368,1.556557608015028,-2.4550407013150966,0.01753287413900716,0.21039448966812324,0.1358797745773335,185,1788461700000,1788472800000
U75,2,SOL/USD,replay-SOL/USD-20,STRUCTURE_INVALIDATION,104.29,103.69,17.36111111111112,37.5,-10.41666666666682,1.629531250000001,1.6201562500000009,-13.666354166666823,-0.2777777777777819,0,0.2546296296296351,60,1788496200000,1788499800000
U75,2,SOL/USD,replay-SOL/USD-21,TIME_EFFICIENCY,105.99,106.55,21.393643031784823,37.5,11.98044009779955,2.040761002444986,2.0515433985330054,7.888135696821558,0.319478402607988,0.581907090464553,0,185,1788686400000,1788697500000
U75,2,SOL/USD,replay-SOL/USD-22,STRUCTURE_INVALIDATION,107.13,106.27,19.604182225541447,37.5,-16.859596713965633,1.8901764376400296,1.8750028005974604,-20.624775952203123,-0.4495892457057502,0,0.6587005227781879,110,1788699300000,1788705900000
U50,2,SOL/USD,replay-SOL/USD-1,PROFIT,82.14,86.99,16.040329972502338,25,77.79560036663625,1.185797433547208,1.2558134738771805,75.35398945921186,3.11182401466545,3.11182401466545,0.08340971585700924,165,1787165100000,1787175000000
U50,2,SOL/USD,replay-SOL/USD-2,STRUCTURE_INVALIDATION,85.64,84.7,9.56284153005466,25,-8.989071038251359,0.737065573770493,0.7289754098360668,-10.45511202185792,-0.35956284153005436,0,0.35956284153005436,50,1787186400000,1787189400000
U50,2,SOL/USD,replay-SOL/USD-3,TIME_EFFICIENCY,87.57,86.73,10.930668332292303,25,-9.181761399125417,0.8614787632729531,0.8532151780137402,-10.89645534041211,-0.3672704559650167,0.17926296064959849,0.3847595252966871,185,1787217300000,1787228400000
U50,2,SOL/USD,replay-SOL/USD-4,STRUCTURE_INVALIDATION,87.79,86.92,11.705685618729072,25,-10.183946488294346,0.9248779264214028,0.9157123745819379,-12.024536789297686,-0.4073578595317739,0,0.5150501672240831,40,1787226600000,1787229000000
U50,2,SOL/USD,replay-SOL/USD-6,STRUCTURE_INVALIDATION,87.46,86.83,14.780405405405366,25,-9.311655405405313,1.163424831081078,1.155044341216213,-11.630124577702604,-0.3724662162162125,0.17736486486487113,0.46706081081080486,135,1787244300000,1787252400000
U50,2,SOL/USD,replay-SOL/USD-5,STRUCTURE_INVALIDATION,87.28,86.83,14.780405405405366,25,-6.651182432432456,1.1610304054054024,1.155044341216213,-8.967257179054071,-0.26604729729729826,0.2837837837837854,0.36064189189189055,170,1787242200000,1787252400000
U50,2,SOL/USD,replay-SOL/USD-7,TIME_EFFICIENCY,87.39,87.23,14.135702746365109,25,-2.261712439418369,1.1117871567043622,1.1097516155088858,-4.483251211631617,-0.09046849757673477,0.20355411954765723,0.11873990306946337,185,1787254800000,1787265900000
U50,2,SOL/USD,replay-SOL/USD-8,STRUCTURE_INVALIDATION,87.74,87.22,14.583333333333352,25,-7.583333333333285,1.1515875000000013,1.1447625000000012,-9.879683333333286,-0.3033333333333314,0,0.31499999999999573,110,1787260200000,1787266800000
