pair,frameIndex,evaluationTime,atr,impulseAtr,impulseHigh,retracementAtr,retracementLow,ema20,reclaimBodyPct,reclaimIsBullish,resumptionExists,resumptionBodyPct,distanceFromOriginAtr,impulseScore,retracementScore,structureScore,reclaimScore,resumptionScore,qualityScore,accepted,rejectReason
BTC/USD,45973,1787239800000,400.33571428571616,2.3742573197494847,72030.7,1.6598569058111863,71366.2,71722.66975697235,0.002306389070838815,1,0,0,0,1,0.3401430941888137,0,0.11531945354194076,0,0.2911,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,46032,1787257500000,233.8785714285706,2.7894817212839236,72961.4,2.163943438292124,72455.3,72464.78324045986,0.00034815539565181313,1,1,0.001064889560647178,0.46519866841769114,1,0,0,0.017407769782590655,0.4181983508495127,0.2871,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,46042,1787260500000,220.48571428571242,2.5670597382402707,72875,1.2994039134378754,72588.5,72547.76795710898,0.0004031076434987942,1,0,0,0,1,0.7005960865621246,0.36947557371662787,0.02015538217493971,0,0.418,1,ENTRY_APPROVED
BTC/USD,46138,1787289300000,364.1357142857149,2.633908079797575,75163.3,1.1509445065615393,74744.2,74473.32392749895,0.0043861221660512146,1,0,0,0,1,0.8490554934384607,1,0.21930610830256073,0,0.6137,1,ENTRY_APPROVED
BTC/USD,46172,1787299500000,369.90000000000043,2.905109489051107,75965.1,1.0089213300892437,75591.9,75377.21157174493,-0.003876731222042135,0,1,0.004302574364959158,0.8913219789132109,1,0.9910786699107563,1,0,0.41232920375612564,0.6807,1,ENTRY_APPROVED
BTC/USD,46173,1787299800000,369.90000000000043,2.905109489051107,75965.1,1.0089213300892437,75591.9,75377.21157174493,-0.003876731222042135,0,1,0.0015809380319211708,1.2192484455258163,1,0.9910786699107563,1,0,0.27928203748705127,0.6541,1,ENTRY_APPROVED
BTC/USD,46273,1787329800000,477.0142857142855,3.454403881285384,77829.6,2.1200622922344414,76818.3,77207.17453643998,0.006602964738926732,1,0,0,0,1,0,0,0.3301482369463366,0,0.266,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,46330,1787346900000,309.20714285714035,2.9336321005336186,77522.2,0.8926055117928414,77246.2,77321.77648351567,0.002512611326573975,1,0,0,0,1,1,0,0.12563056632869873,0,0.4251,1,ENTRY_APPROVED
BTC/USD,46332,1787347500000,309.20714285714035,2.9336321005336186,77522.2,0.8926055117928414,77246.2,77321.77648351567,0.002512611326573975,1,1,0.004171211971660296,1.0439603594446334,1,1,0,0.12563056632869873,0.693333915366471,0.5638,1,ENTRY_APPROVED
BTC/USD,46417,1787373000000,298.33571428571304,3.396844398687954,78800,1.934733162544591,78222.8,78297.37952114735,0.002246587478170552,1,0,0,0,1,0.06526683745540907,0,0.11232937390852761,0,0.2355,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,46418,1787373300000,298.33571428571304,3.396844398687954,78800,1.934733162544591,78222.8,78297.37952114735,0.002246587478170552,1,1,0.0017382354622906197,0.4588790193214563,1,0.06526683745540907,0,0.11232937390852761,0.43109853792597885,0.3217,1,ENTRY_APPROVED
BTC/USD,47287,1787634000000,348.6857142857137,4.865126188135029,81200,3.0067191084890084,80151.6,80094.64024188853,0.0015695753806934918,1,0,0,0,1,0,0.32671116583116755,0.07847876903467459,0,0.281,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,47294,1787636100000,343.471428571429,3.9921806762883034,81200,3.0523645135798154,80151.6,80185.85488582027,0.0009748365660450691,1,1,0.002025095839269849,0.45826228008154546,1,0,0,0.04874182830225345,0.4415595176460263,0.2981,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,50046,1788461700000,304.471428571429,2.582179890207841,81381.4,1.441186130530622,80942.6,80486.9045861625,0.00047787689298517584,1,1,0.0014833084677940245,0.6131938253647904,1,0.558813869469378,1,0.02389384464925879,0.3639709097653584,0.5893,1,ENTRY_APPROVED
BTC/USD,50210,1788510900000,183.02142857142775,3.0919876673301947,81127.8,3.534558794832831,80480.9,80888.49120402308,0.0027391745180201732,1,1,0.0014489929807080457,0.6420013269328366,1,0,0,0.13695872590100866,0.393583893239425,0.3061,1,ENTRY_APPROVED
BTC/USD,50257,1788525000000,192.74999999999793,3.012191958495523,81400,1.3815823605707174,81133.7,81120.82571638028,0.0012550814819550485,1,0,0,0,1,0.6184176394292826,0.1335853034471588,0.06275407409775242,0,0.363,1,ENTRY_APPROVED
BTC/USD,50259,1788525600000,192.74999999999793,3.012191958495523,81400,1.3815823605707174,81133.7,81120.82571638028,0.0012550814819550485,1,1,0.0015511963601927987,7.32036316472122,1,0.6184176394292826,0.1335853034471588,0.06275407409775242,0.5469865696020053,0.4723,1,ENTRY_APPROVED
ETH/USD,5336,1775047500000,7.405714285714306,1.6541280864197485,2138.25,1.3206018518518752,2128.47,2132.7912782026674,0.004050058158274625,1,0,0,0,0.8270640432098743,0.6793981481481248,0,0.20250290791373124,0,0.3418,1,ENTRY_APPROVED
