pair,lotId,signalId,setupTag,regimeAtEntry,directionAtEntry,entryPrice,exitPrice,volume,entryFeeUsd,exitFeeUsd,grossPnlUsd,netPnlUsd,rMultiple,exitReason,openedAtMs,closedAtMs,holdTimeMinutes,mfeUsd,maeUsd,mfeR,maeR,profitCapturePct,profitCaptureClass,givebackR,timeSinceLastMfeMin,rAt15m,rAt30m,rAt60m,rAt120m,rAt360m,initialStopPrice,initialStopDistanceUsd,riskUsd,notionalUsd,entryFee
ETH/USD,replay-ETH/USD-14,replay-ETH/USD-51,PULLBACK_CONTINUATION,TREND,BULLISH,2286.64,2277.07,0.6382319152428012,1.313465964003719,1.3079688725177328,-6.107879428873422,-8.729314265394875,-0.12215758857746845,STRUCTURE_INVALIDATION,1787220900000,1787229000000,135,18.77678294644326,9.286274366782584,0.3755356589288652,-0.24482576268713646,-70.48353501019598,BAD,0.49769324750633365,45.0,-0.04352741661955719,-0.07850252557486571,0.035230401721405416,-0.1710461532850719,0.4283812615109675,2208.2985714285714,78.34142857142862,50,1459.406626670799,1.313465964003719
ETH/USD,replay-ETH/USD-15,replay-ETH/USD-52,PULLBACK_CONTINUATION,TREND,BULLISH,2325.08,2315.44,0.9104151493080822,1.9051092498179123,1.8972104879825151,-8.776402039329797,-12.578721777130223,-0.17552804078659592,STRUCTURE_INVALIDATION,1787243400000,1787252400000,150,21.021485797523752,12.263292061179685,0.42042971595047507,-0.2785870356882682,-90.92391511476717,BAD,0.595957756737071,140.0,0.2922432629278977,0.2514566642388913,0.3257465404224295,-0.2452658412235937,-0.22541879096868314,2270.16,54.92000000000014,50,2116.788055353236,1.9051092498179123
ETH/USD,replay-ETH/USD-17,replay-ETH/USD-54,PULLBACK_CONTINUATION,TREND,BULLISH,2412.42,2454.02,0.7121202872896699,1.546139901117011,1.5728016846731363,29.624203951250205,26.505262365460055,0.592484079025004,TRAILING,1787339400000,1787375400000,600,92.30503163848694,0.5483326212130328,1.8461006327697387,-0.5316690064904664,22.845812374633493,POOR,1.2536165537447346,425.0,0.07975747217644173,0.059675680074875115,0.18329976194835948,0.5320962786628431,1.5180980284441203,2342.207142857143,70.21285714285717,50,1717.9332234633455,1.546139901117011
ETH/USD,replay-ETH/USD-16,replay-ETH/USD-53,PULLBACK_CONTINUATION,TREND,BULLISH,2419.47,2454.02,0.7121202872896699,1.5506583043398636,1.5728016846731363,24.603755925858223,21.480295936845224,0.49207511851716446,TRAILING,1787338800000,1787375400000,610,87.28458361309495,8.338928564161737,1.7456916722618991,-0.6320779669983061,18.402869380762137,BAD,1.2536165537447346,425.0,-0.11137561293210022,-0.05526053429367346,0.07876050377424033,0.2896905328694398,1.497588964170177,2349.2571428571428,70.21285714285717,50,1722.9536714887374,1.5506583043398636
ETH/USD,replay-ETH/USD-18,replay-ETH/USD-61,PULLBACK_CONTINUATION,TREND,BULLISH,2514.71,2508.42,1.2926099641762339,2.9254852827122555,2.9181678177050534,-8.130516674668463,-13.974169775085773,-0.16261033349336929,STRUCTURE_INVALIDATION,1788499200000,1788504300000,85,1.2409055656092316,13.210473833881439,0.024818111312184633,-0.38028585146064897,-1936.137395833256,BAD,0.18742844480555393,35.0,-0.16261033349336929,-0.2642094766776288,-0.14839162388743776,-0.1225394246039131,0.25541972892122666,2476.0285714285715,38.6814285714287,50,3250.539203013617,2.9254852827122555
ETH/USD,replay-ETH/USD-19,replay-ETH/USD-63,PULLBACK_CONTINUATION,TREND,BULLISH,2515,2524.63,1.5342129487572838,3.4726910095121117,3.4859880331389914,14.77447069653281,7.815791653881707,0.2954894139306562,TIME_EFFICIENCY,1788510000000,1788521100000,185,36.88247928812505,0.44492175513955645,0.737649585762501,-0.07671064743786418,-11.364475873543658,BAD,0.44216017183184475,130.0,0.14973918379871423,0.4421601718318447,0.2304387849033507,0.06290273089905421,-1.9318809450751726,2482.41,32.59000000000008,50,3858.5455661245687,3.4726910095121117
ETH/USD,replay-ETH/USD-20,replay-ETH/USD-65,PULLBACK_CONTINUATION,TREND,BULLISH,2530.56,2524.22,1.434367443957211,3.2667775910823234,3.2585930904471034,-9.093889594688926,-15.619260276218354,-0.18187779189377853,TIME_EFFICIENCY,1788512700000,1788523800000,185,12.163435924757175,20.339330355313017,0.2432687184951435,-0.46215319044301706,-220.68849056603895,BAD,0.42514651038892204,175.0,-0.23093315847710313,-0.0160649153723192,-0.35945248145566977,-0.20654891192983316,-2.3755993606819312,2495.7014285714286,34.85857142857152,50,3629.7528789803596,3.2667775910823234
SOL/USD,replay-SOL/USD-1,replay-SOL/USD-4,PULLBACK_CONTINUATION,TREND,BULLISH,88.39,87.88,28.06736166800321,2.2327866880513234,2.2199037690457093,-14.31435445068178,-18.76704490777881,-0.2862870890136356,STRUCTURE_INVALIDATION,1776414000000,1776421800000,130,31.716118684843497,14.033680834001604,0.63432237369687,-0.42101042502004815,-83.28061946902733,BAD,0.9206094627105055,65.0,0.09542902967121186,0.31996792301523275,0.24699278267842695,-0.07297514033680579,0.9486768243785072,86.60857142857142,1.7814285714285714,50,2480.8740978348037,2.2327866880513234
SOL/USD,replay-SOL/USD-2,replay-SOL/USD-5,PULLBACK_CONTINUATION,TREND,BULLISH,86.9,86.97,46.11330698287227,3.6065217391304403,3.609426877470361,3.227931488800744,-3.988017127800057,0.06455862977601488,TIME_EFFICIENCY,1778031300000,1778042400000,185,19.828722002634734,21.21212121212161,0.3965744400526947,-0.4426877470355774,-82.81162790697975,BAD,0.3320158102766798,65.0,0.018445322793145237,-0.06455862977602798,-0.40579710144928693,0.39657444005269465,0.8300395256916929,85.8157142857143,1.0842857142857127,50,4007.2463768116004,3.6065217391304403
SOL/USD,replay-SOL/USD-3,replay-SOL/USD-7,PULLBACK_CONTINUATION,TREND,BULLISH,89.39,89.11,30.224525043177824,2.4315932642486993,2.4239766839378185,-8.462867012089825,-13.318436960276342,-0.1692573402417965,STRUCTURE_INVALIDATION,1778097900000,1778107500000,160,4.835924006908349,14.205526770293543,0.09671848013816697,-0.3264248704663243,-448.0568750000103,BAD,0.2659758203799635,140.0,0.04231433506044483,-0.1390328151986204,-0.01813471502590738,-0.04231433506045342,-0.7858376511226217,87.73571428571428,1.6542857142857181,50,2701.7702936096657,2.4315932642486993
