fold,combo,trainScore,trainTrades,isBest
1,stale180_r0.3_gb0.8@0.4_atr2.5_fa1,0.06,21,0
1,stale180_r0.3_gb0.8@0.6_atr2_fa0,-0.06,21,0
1,stale180_r0.3_gb0.8@0.6_atr2_fa1,-0.06,21,0
1,stale180_r0.3_gb0.8@0.6_atr2.5_fa0,-0.06,21,0
1,stale180_r0.3_gb0.8@0.6_atr2.5_fa1,-0.06,21,0
1,stale180_r0.3_gb1.2@0.4_atr2_fa0,0.11,21,0
1,stale180_r0.3_gb1.2@0.4_atr2_fa1,0.11,21,0
1,stale180_r0.3_gb1.2@0.4_atr2.5_fa0,0.11,21,0
1,stale180_r0.3_gb1.2@0.4_atr2.5_fa1,0.11,21,0
1,stale180_r0.3_gb1.2@0.6_atr2_fa0,-0.01,21,0
1,stale180_r0.3_gb1.2@0.6_atr2_fa1,-0.01,21,0
1,stale180_r0.3_gb1.2@0.6_atr2.5_fa0,-0.01,21,0
1,stale180_r0.3_gb1.2@0.6_atr2.5_fa1,-0.01,21,0
1,stale180_r0.3_gb1.8@0.4_atr2_fa0,0.04,21,0
1,stale180_r0.3_gb1.8@0.4_atr2_fa1,0.04,21,0
1,stale180_r0.3_gb1.8@0.4_atr2.5_fa0,0.04,21,0
1,stale180_r0.3_gb1.8@0.4_atr2.5_fa1,0.04,21,0
1,stale180_r0.3_gb1.8@0.6_atr2_fa0,-0.01,21,0
1,stale180_r0.3_gb1.8@0.6_atr2_fa1,-0.01,21,0
1,stale180_r0.3_gb1.8@0.6_atr2.5_fa0,-0.01,21,0
1,stale180_r0.3_gb1.8@0.6_atr2.5_fa1,-0.01,21,0
1,stale180_r0.5_gb0.8@0.4_atr2_fa0,0.13,21,0
1,stale180_r0.5_gb0.8@0.4_atr2_fa1,0.13,21,0
1,stale180_r0.5_gb0.8@0.4_atr2.5_fa0,0.13,21,0
1,stale180_r0.5_gb0.8@0.4_atr2.5_fa1,0.13,21,0
1,stale180_r0.5_gb0.8@0.6_atr2_fa0,0.01,21,0
1,stale180_r0.5_gb0.8@0.6_atr2_fa1,0.01,21,0
1,stale180_r0.5_gb0.8@0.6_atr2.5_fa0,0.01,21,0
1,stale180_r0.5_gb0.8@0.6_atr2.5_fa1,0.01,21,0
1,stale180_r0.5_gb1.2@0.4_atr2_fa0,0.19,21,1
1,stale180_r0.5_gb1.2@0.4_atr2_fa1,0.19,21,0
1,stale180_r0.5_gb1.2@0.4_atr2.5_fa0,0.19,21,0
1,stale180_r0.5_gb1.2@0.4_atr2.5_fa1,0.19,21,0
1,stale180_r0.5_gb1.2@0.6_atr2_fa0,0.07,21,0
1,stale180_r0.5_gb1.2@0.6_atr2_fa1,0.07,21,0
1,stale180_r0.5_gb1.2@0.6_atr2.5_fa0,0.07,21,0
1,stale180_r0.5_gb1.2@0.6_atr2.5_fa1,0.07,21,0
1,stale180_r0.5_gb1.8@0.4_atr2_fa0,0.12,21,0
1,stale180_r0.5_gb1.8@0.4_atr2_fa1,0.12,21,0
1,stale180_r0.5_gb1.8@0.4_atr2.5_fa0,0.12,21,0
1,stale180_r0.5_gb1.8@0.4_atr2.5_fa1,0.12,21,0
1,stale180_r0.5_gb1.8@0.6_atr2_fa0,0.07,21,0
1,stale180_r0.5_gb1.8@0.6_atr2_fa1,0.07,21,0
1,stale180_r0.5_gb1.8@0.6_atr2.5_fa0,0.07,21,0
1,stale180_r0.5_gb1.8@0.6_atr2.5_fa1,0.07,21,0
1,stale240_r0.3_gb0.8@0.4_atr2_fa0,-0.17,21,0
1,stale240_r0.3_gb0.8@0.4_atr2_fa1,-0.17,21,0
1,stale240_r0.3_gb0.8@0.4_atr2.5_fa0,-0.17,21,0
1,stale240_r0.3_gb0.8@0.4_atr2.5_fa1,-0.17,21,0
2,stale120_r0.3_gb0.8@0.4_atr2_fa0,-0.78,12,0
2,stale120_r0.3_gb0.8@0.4_atr2_fa1,-0.78,12,0
2,stale120_r0.3_gb0.8@0.4_atr2.5_fa0,-0.78,12,0
2,stale120_r0.3_gb0.8@0.4_atr2.5_fa1,-0.78,12,0
2,stale120_r0.3_gb0.8@0.6_atr2_fa0,-0.92,12,0
2,stale120_r0.3_gb0.8@0.6_atr2_fa1,-0.92,12,0
2,stale120_r0.3_gb0.8@0.6_atr2.5_fa0,-0.62,12,0
2,stale120_r0.3_gb0.8@0.6_atr2.5_fa1,-0.62,12,0
2,stale120_r0.3_gb1.2@0.4_atr2_fa0,-0.81,12,0
2,stale120_r0.3_gb1.2@0.4_atr2_fa1,-0.81,12,0
2,stale120_r0.3_gb1.2@0.4_atr2.5_fa0,-0.81,12,0
2,stale120_r0.3_gb1.2@0.4_atr2.5_fa1,-0.81,12,0
2,stale120_r0.3_gb1.2@0.6_atr2_fa0,-0.92,12,0
2,stale120_r0.3_gb1.2@0.6_atr2_fa1,-0.92,12,0
2,stale120_r0.3_gb1.2@0.6_atr2.5_fa0,-0.62,12,0
2,stale120_r0.3_gb1.2@0.6_atr2.5_fa1,-0.62,12,0
2,stale120_r0.3_gb1.8@0.4_atr2_fa0,-0.81,12,0
2,stale120_r0.3_gb1.8@0.4_atr2_fa1,-0.81,12,0
2,stale120_r0.3_gb1.8@0.4_atr2.5_fa0,-0.81,12,0
2,stale120_r0.3_gb1.8@0.4_atr2.5_fa1,-0.81,12,0
2,stale120_r0.3_gb1.8@0.6_atr2_fa0,-0.92,12,0
2,stale120_r0.3_gb1.8@0.6_atr2_fa1,-0.92,12,0
2,stale120_r0.3_gb1.8@0.6_atr2.5_fa0,-0.62,12,0
