fold,pair,lotId,entryTime,entryPrice,e0ExitTime,e1ExitTime,e0Reason,e1Reason,e0Net,e1Net,e0R,e1R,e0MfeR,e1MfeR,e0Capture,e1Capture,e0Giveback,e1Giveback,deltaNet,deltaR,deltaCapture,deltaGiveback
2,SOL/USD,replay-SOL/USD-12,1787347200000,92.4,1787358600000,1787357400000,TIME_EFFICIENCY,MFE_GIVEBACK,19.244645193759286,10.621311021640597,0.44388525415198493,0.271263210870658,0.8595873175641667,0.8595873175641667,0.5163934426229475,0.31557377049180196,0.4157020634121818,0.5883241066935088,-8.623334172118689,-0.1726220432813269,-0.20081967213114554,0.17262204328132696
2,SOL/USD,replay-SOL/USD-11,1787346900000,92.24,1787359500000,1787357400000,TIME_EFFICIENCY,MFE_GIVEBACK,20.481623049823835,13.44216658278825,0.4685455460493202,0.3276295923502794,0.915953699043788,0.915953699043788,0.5115384615384593,0.3576923076923092,0.4474081529944678,0.5883241066935085,-7.039456467035585,-0.1409159536990408,-0.15384615384615008,0.14091595369904075
2,SOL/USD,replay-SOL/USD-13,1787366100000,95.15,1787374200000,1787375400000,TRAILING,TRAILING,94.63674233825206,2.9486208853574167,1.962542565266744,0.12712826333711438,2.7928490351872908,2.7928490351872908,0.7027027027027024,0.045519203413939294,0.8303064699205467,2.6657207718501765,-91.68812145289465,-1.8354143019296296,-0.6571834992887631,1.8354143019296298
2,SOL/USD,replay-SOL/USD-15,1787838000000,104.61,1787854800000,1787882400000,TRAILING,STRUCTURE_INVALIDATION,38.64080934403023,50.522508258612554,0.8357715903728179,1.0736196319018407,1.5823501651722531,1.7640396413402561,0.5281837160751562,0.6086142322097375,0.7465785747994352,0.6904200094384154,11.881698914582323,0.23784804152902284,0.0804305161345813,-0.05615856536101982
2,SOL/USD,replay-SOL/USD-14,1787810400000,102.02,1787854800000,1787868300000,TRAILING,PROFIT,96.05534780189213,148.5956649972177,1.994435169727325,3.046188091263219,2.8747913188647782,3.0267111853088515,0.6937669376693765,1.006435006435006,0.8803561491374532,-0.019476905954367574,52.540317195325585,1.051752921535894,0.3126680687656296,-0.8998330550918208
2,SOL/USD,replay-SOL/USD-17,1787877600000,109.97,1787882400000,1787882400000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-34.78950215517246,-34.78950215517246,-0.6366379310344836,-0.6366379310344836,0,0,,,0.6366379310344836,0.6366379310344836,0,0,,0
2,SOL/USD,replay-SOL/USD-16,1787873400000,109.94,1787882400000,1787882400000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-33.52723063973067,-33.52723063973067,-0.6127946127946133,-0.6127946127946133,0.002946127946129458,0.002946127946129458,,,0.6157407407407428,0.6157407407407428,0,0,,0
2,SOL/USD,replay-SOL/USD-18,1788461400000,104.97,1788472500000,1788473400000,TIME_EFFICIENCY,TIME_EFFICIENCY,3.7417345021915978,-5.016812773950985,0.15779586725109557,-0.01753287413900716,0.3024420788979327,0.3024420788979327,0.5217391304347835,-0.057971014492742286,0.1446462116468371,0.31997495303693985,-8.758547276142583,-0.17532874139010274,-0.5797101449275258,0.17532874139010274
2,SOL/USD,replay-SOL/USD-19,1788461700000,105.18,1788472800000,1788473400000,TIME_EFFICIENCY,TIME_EFFICIENCY,-3.2733876017534627,-9.623334376956795,0.01753287413900716,-0.10958046336881655,0.2103944896681233,0.2103944896681233,0.08333333333331853,-0.5208333333333445,0.19286161552911613,0.31997495303693985,-6.349946775203332,-0.12711333750782372,-0.604166666666663,0.12711333750782372
2,SOL/USD,replay-SOL/USD-20,1788496200000,104.29,1788499800000,1788499800000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-18.22180555555576,-18.22180555555576,-0.2777777777777819,-0.2777777777777819,0,0,,,0.2777777777777819,0.2777777777777819,0,0,,0
2,SOL/USD,replay-SOL/USD-21,1788686400000,105.99,1788697500000,1788698100000,TIME_EFFICIENCY,TIME_EFFICIENCY,10.517514262428746,16.502343113284713,0.319478402607988,0.4392828035859876,0.5819070904645531,0.5819070904645531,0.5490196078431339,0.7549019607843162,0.26242868785656515,0.14262428687856554,5.984828850855967,0.1198044009779996,0.2058823529411823,-0.1198044009779996
2,SOL/USD,replay-SOL/USD-22,1788699300000,107.13,1788705900000,1788705900000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-27.499701269604163,-27.499701269604163,-0.4495892457057502,-0.4495892457057502,0,0,,,0.4495892457057502,0.4495892457057502,0,0,,0
