policy,pair,lotId,exitReason,entryPrice,exitPrice,volume,grossPnlUsd,entryFeeUsd,exitFeeUsd,netPnlUsd,rMultiple,mfeR,holdTimeMinutes,openedAtMs,closedAtMs
E1,XRP/USD,replay-XRP/USD-10,STRUCTURE_INVALIDATION,1.45437,1.44553,1724.3927674040492,-15.243632063851724,2.257114598216484,2.2433953293590174,-19.744141991427227,-0.30487264127703445,0.01793368478100473,55,1788514500000,1788517800000
E1,XRP/USD,replay-XRP/USD-11,STRUCTURE_INVALIDATION,1.4436,1.42893,2089.053360391543,-30.646412796943853,2.714181687955108,2.6865999164378587,-36.04719440133682,-0.612928255938877,0,85,1788941100000,1788946200000
E0,ETH/USD,replay-ETH/USD-1,STRUCTURE_INVALIDATION,1754.21,1752.55,2.098572970380145,-3.4836311308312125,3.313203921333499,3.3100686533157506,-10.106903705480462,-0.06967262261662424,0.24721189591077575,140,1783139100000,1783147500000
E0,ETH/USD,replay-ETH/USD-2,STRUCTURE_INVALIDATION,1788.25,1784.81,2.259959966423457,-7.774262284496816,3.6372360689610725,3.630239232905025,-15.041737586362913,-0.1554852456899363,0.4967392006198763,75,1783292400000,1783296900000
E0,SOL/USD,replay-SOL/USD-1,TIME_EFFICIENCY,73.86,74.16,47.10632570659484,14.131897711978317,3.131345895020185,3.144064602960966,7.856487213997165,0.28263795423956634,0.5841184387617803,185,1782053700000,1782064800000
E0,SOL/USD,replay-SOL/USD-2,TIME_EFFICIENCY,74,74.37,46.419098143236035,17.175066312997544,3.09151193633952,3.1069694960212173,10.976584880636807,0.3435013262599509,0.44562334217506966,185,1782060300000,1782071400000
E0,SOL/USD,replay-SOL/USD-3,STRUCTURE_INVALIDATION,81.52,80.7,31.992687385740368,-26.234003656306882,2.3472394881169993,2.323628884826323,-30.904872029250203,-0.5246800731261376,0.03199268738573855,70,1783043400000,1783047600000
E0,SOL/USD,replay-SOL/USD-4,TIME_EFFICIENCY,81.21,80.89,40.603248259860834,-12.99303944315519,2.9676508120649685,2.9559570765661287,-18.916647331786287,-0.2598607888631038,0.07308584686775227,185,1783058700000,1783069800000
E0,XRP/USD,replay-XRP/USD-1,STRUCTURE_INVALIDATION,1.17642,1.16735,2148.4255110183553,-19.48621938493629,2.2747056657049924,2.2571680682585495,-24.018093118899834,-0.3897243876987258,0.18261616843656395,135,1783187100000,1783195200000
E0,ETH/USD,replay-ETH/USD-1,STRUCTURE_INVALIDATION,1881.96,1922.08,2.0891780576613175,83.81782367337183,3.5385745836566636,3.6140106249626984,76.66523846475246,1.6763564734674368,2.3632782188264803,560,1784116500000,1784150100000
E0,ETH/USD,replay-ETH/USD-2,STRUCTURE_INVALIDATION,1926.23,1917.79,1.8222523038475518,-15.379809444473436,3.1590693497162428,3.1452275212162166,-21.684106315405895,-0.3075961888894687,0,60,1784171700000,1784175300000
E0,ETH/USD,replay-ETH/USD-3,TIME_EFFICIENCY,1913.22,1928.35,1.6169269149034444,24.464104222488924,2.784183220918411,2.806200914718651,18.87372008685186,0.4892820844497785,0.5765961378545659,195,1784602500000,1784614200000
E0,ETH/USD,replay-ETH/USD-4,TIME_EFFICIENCY,1952.42,1942.51,2.5152712899748497,-24.926338483650966,4.419779374775427,4.39734567014014,-33.74346352856654,-0.49852676967301934,0.05282069708946955,185,1785109500000,1785120600000
E0,SOL/USD,replay-SOL/USD-1,STRUCTURE_INVALIDATION,78.54,78.1,59.72696245733789,-26.279863481229384,4.221860068259386,4.19820819112628,-34.69993174061505,-0.5255972696245876,0,95,1784639400000,1784645100000
E0,BTC/USD,replay-BTC/USD-1,TIME_EFFICIENCY,68766.7,69335.7,0.04094525035095925,23.297847449695812,2.5341027725783785,2.5550708352831046,18.20867384183433,0.46595694899391626,0.8635353299017307,185,1787171100000,1787182200000
E0,BTC/USD,replay-BTC/USD-2,PROFIT,72685.4,76868.5,0.036351173104286365,152.0605922125405,2.377979601798866,2.514834134790153,147.16777847595148,3.0412118442508103,3.0412118442508103,660,1787260500000,1787300100000
E0,BTC/USD,replay-BTC/USD-3,TRAILING,75305.7,77563.7,0.03561434749427632,80.41719664207592,2.4137670312897517,2.4861425082676196,75.51728710251855,1.6083439328415186,2.8176647163571675,245,1787289300000,1787304000000
E0,BTC/USD,replay-BTC/USD-4,TIME_EFFICIENCY,77688.1,78057.1,0.02198768689533861,8.113456464379947,1.53736345646438,1.544665567282322,5.031427440633245,0.16226912928759896,0.45642040457343636,185,1787346900000,1787358000000
E0,BTC/USD,replay-BTC/USD-5,EMERGENCY,78700.5,76955,0.0341856967044989,-59.67113359770283,2.421388281143174,2.367684260905241,-64.46020613975124,-1.1934226719540566,0,45,1787373300000,1787376000000
E0,BTC/USD,replay-BTC/USD-6,TIME_EFFICIENCY,81170,81607.8,0.04195033080832289,18.365854827883883,3.064597516540412,3.081126785885507,12.220130525457964,0.36731709655767764,0.765090133282188,185,1788461700000,1788472800000
E0,BTC/USD,replay-BTC/USD-7,STRUCTURE_INVALIDATION,81090.8,80948.7,0.055488616906588316,-7.884932462426523,4.0496547022638945,4.042558263047711,-15.977145427738128,-0.15769864924853044,0.1316189993024178,115,1788510900000,1788517800000
E0,ETH/USD,replay-ETH/USD-1,STRUCTURE_INVALIDATION,2286.64,2277.07,0.6382319152428012,-6.107879428873422,1.313465964003719,1.3079688725177328,-8.729314265394875,-0.12215758857746845,0.3755356589288652,135,1787220900000,1787229000000
E0,ETH/USD,replay-ETH/USD-2,STRUCTURE_INVALIDATION,2325.08,2315.44,0.9104151493080822,-8.776402039329797,1.9051092498179123,1.8972104879825151,-12.578721777130223,-0.17552804078659592,0.42042971595047507,150,1787243400000,1787252400000
E0,ETH/USD,replay-ETH/USD-4,TRAILING,2412.42,2454.02,0.7121202872896699,29.624203951250205,1.546139901117011,1.5728016846731363,26.505262365460055,0.592484079025004,1.8461006327697387,600,1787339400000,1787375400000
E0,ETH/USD,replay-ETH/USD-3,TRAILING,2419.47,2454.02,0.7121202872896699,24.603755925858223,1.5506583043398636,1.5728016846731363,21.480295936845224,0.49207511851716446,1.7456916722618991,610,1787338800000,1787375400000
E0,ETH/USD,replay-ETH/USD-5,STRUCTURE_INVALIDATION,2514.71,2508.42,1.2926099641762339,-8.130516674668463,2.9254852827122555,2.9181678177050534,-13.974169775085773,-0.16261033349336929,0.024818111312184633,85,1788499200000,1788504300000
E0,ETH/USD,replay-ETH/USD-6,TIME_EFFICIENCY,2515,2524.63,1.5342129487572838,14.77447069653281,3.4726910095121117,3.4859880331389914,7.815791653881707,0.2954894139306562,0.737649585762501,185,1788510000000,1788521100000
E0,ETH/USD,replay-ETH/USD-7,TIME_EFFICIENCY,2530.56,2524.22,1.434367443957211,-9.093889594688926,3.2667775910823234,3.2585930904471034,-15.619260276218354,-0.18187779189377853,0.2432687184951435,185,1788512700000,1788523800000
E0,SOL/USD,replay-SOL/USD-1,PROFIT,82.14,86.99,32.080659945004676,155.5912007332725,2.371594867094416,2.511626947754361,150.70797891842372,3.11182401466545,3.11182401466545,165,1787165100000,1787175000000
E0,SOL/USD,replay-SOL/USD-2,STRUCTURE_INVALIDATION,85.64,84.7,19.12568306010932,-17.978142076502717,1.474131147540986,1.4579508196721336,-20.91022404371584,-0.35956284153005436,0,50,1787186400000,1787189400000
E0,SOL/USD,replay-SOL/USD-3,TIME_EFFICIENCY,87.57,86.73,21.861336664584606,-18.363522798250834,1.7229575265459063,1.7064303560274805,-21.79291068082422,-0.3672704559650167,0.17926296064959849,185,1787217300000,1787228400000
E0,SOL/USD,replay-SOL/USD-4,STRUCTURE_INVALIDATION,87.79,86.92,23.411371237458145,-20.367892976588692,1.8497558528428055,1.8314247491638758,-24.049073578595372,-0.4073578595317739,0,40,1787226600000,1787229000000
E0,SOL/USD,replay-SOL/USD-6,STRUCTURE_INVALIDATION,87.46,86.83,29.560810810810732,-18.623310810810626,2.326849662162156,2.310088682432426,-23.26024915540521,-0.3724662162162125,0.17736486486487113,135,1787244300000,1787252400000
E0,SOL/USD,replay-SOL/USD-5,STRUCTURE_INVALIDATION,87.28,86.83,29.560810810810732,-13.302364864864913,2.3220608108108047,2.310088682432426,-17.934514358108142,-0.26604729729729826,0.2837837837837854,170,1787242200000,1787252400000
E0,SOL/USD,replay-SOL/USD-7,TIME_EFFICIENCY,87.39,87.23,28.271405492730217,-4.523424878836738,2.2235743134087245,2.2195032310177716,-8.966502423263234,-0.09046849757673477,0.20355411954765723,185,1787254800000,1787265900000
E0,SOL/USD,replay-SOL/USD-8,STRUCTURE_INVALIDATION,87.74,87.22,29.166666666666703,-15.16666666666657,2.3031750000000026,2.2895250000000025,-19.759366666666573,-0.3033333333333314,0,110,1787260200000,1787266800000
E0,SOL/USD,replay-SOL/USD-9,TRAILING,90.45,91.35,30.224525043177895,27.20207253885985,2.4604274611398966,2.4849093264248703,22.256735751295082,0.544041450777197,1.6925734024179604,195,1787291400000,1787303100000
E0,SOL/USD,replay-SOL/USD-10,TIME_EFFICIENCY,91.47,91.77,16.50943396226415,4.952830188679198,1.3591061320754716,1.363563679245283,2.2301603773584437,0.09905660377358395,0.18490566037735923,185,1787323500000,1787334600000
E0,SOL/USD,replay-SOL/USD-12,TIME_EFFICIENCY,92.4,93.66,17.61449421238048,22.194262707599247,1.464821338701561,1.4847961751384002,19.244645193759286,0.44388525415198493,0.8595873175641667,190,1787347200000,1787358600000
